Percent_Increase,Percent_Change_CV_High,Percent_Change_CV_Low
0.0,0.0,0.0
0.001,-0.477816913344856,4.093680987938379
0.002,1.7535788912463182,4.734003649645286
0.003,3.533226858802685,4.822944939414696
0.004,2.1831197308756147,1.5451518221933316
0.005,2.60785400769416,4.729421976978475
0.006,0.8960913261010858,2.5509990551623063
0.007,1.6156013093733312,6.303999570896561
0.008,5.5527457121298704,7.865147121908509
0.009,4.525762083184862,3.608599194307012
0.01,5.6803454170295815,4.19956874093573
0.011,6.854164016827623,0.9195717112998306
0.012,4.145591611804118,-0.5732081416798597
0.013,3.836208879794587,6.575470851183718
0.014,8.234364182385661,-0.1363663816829357
0.015,8.617315462832902,3.266882925504909
0.016,12.749483099019237,1.4891397538415443
0.017,12.4884767155688,2.411232440942767
0.018,8.911383277556947,-2.8261537302024045
0.019,11.326443225167617,-2.5261679752456656
0.02,13.69644848152089,3.005315032522748
0.021,13.7010801601302,3.139722637030095
0.022,13.558144960524302,-2.096438656276541
0.023,14.660858591150836,1.3591976160347974
0.024,14.17771682248935,-2.5539468467680666
0.025,15.081738398117627,-5.108315698750178
0.026,17.873140205291087,-0.8331589066501657
0.027,24.38162324844307,-0.46355283058918445
0.028,18.04635649947808,-4.748802655582775
0.029,21.48654698415596,-3.007128310777576
0.03,25.322546467723733,2.546136027182313
0.031,25.15739332116958,-0.013032051302932831
0.032,15.687543149466066,6.151955114093879
0.033,20.017315411940285,0.4083648008096167
0.034,22.528021220413624,-1.7733920400736944
0.035,25.0456944488686,-2.1220924132671177
0.036,28.314929491482633,-1.3669014844855074
0.037,26.075012307490347,4.0519516079538045
0.038,23.135426251119952,-0.7887767794071571
0.039,33.12575575620724,-3.0221289827520317
0.04,32.37132783925919,-0.7652566152085154
0.041,26.034737363190036,-0.6804964277013752
0.042,32.77303451618954,-1.0503859910508113
0.043,32.05761981606873,-4.099379612084381
0.044,35.63010485237814,1.1153393814206114
0.045,30.025635232671906,0.5857825793980912
0.046,32.07315785655601,-1.916784030792823
0.047,39.768211184525526,-2.7664459830027397
0.048,34.834018947390945,1.8478213858001757
0.049,39.188150371847755,-3.0015212927331647
0.05,36.142466277476885,4.616424402984182
